Driver,Whip,Appearance ,Aroma (Italian),Aroma (English),Pizza ,Pizza Personality 
hipster,1987 toyota tacoma,corrugated,delizioso,delicious,pipping hot ,smug as a rug
stoned,lambo,compostable,puzzolente,stinky,crispy,rude dude
clumsy,bicycle,biodegradable ,non chiedere,don't ask,thin crust,silly like philly
under-age,motorcycle,banged-up,aglio pesante ,garlic-y,deepdish,radical duddeee
late,1978 Trans Am Firebird or Camero,grease-stained ,fresco,fresh,stuffed crust,happy go lucky
drunk,vespa,pristine ,fiorito,flowery,glutten free,chatty chad 
smelly,1972 Ford Pinto,covered in crayons,mostarda,mustard,NY Style,patient and understanding
old,1968 Oldsmobile Cutlass,flattened,agrumi,citrus,butter crust,good listener 
texting,1979 AMC Pacer,folded,autobus,city bus,neapolitan,smort boi 
naked,stretch limo,dented,bacon,bacon,scilian,"do u even lift, bro?"
lazy,UFO,paper,paradiso,heaven,focaccia,hot tempered
loud,jetpack,heavy,perfezion,perfect,tatertot ,cool as a cucumber 
handsome,parachute,thick,favoloso,fabulous,pumpernickel,real funny guy 
charming,drone,strong,magnifico,magnificent,pita,mysterious 
funny,rocket car,unbreakable,superbo,superb,challah,
suave,Kawasaki Ninja H2R,used,straordinario,extraordinary,corn bread,
your crush ,wings of an angel,upside down ,,yummy ,cake,
sweaty,Tata Tigor,,,,pretzel ,
,Bugatti Chiron,,,,soggy,
,McLaren F1,,,,chewy,
,Aston Martin,,,,saucy,
,Tesla Truck,,,,organic,
,DMC DeLoreon ,,,,extra crust ,
